UGY;VOF;u/u_av;Points:0;Points:1;Points:2
-9.1814e-05;1;-0.0013704;0.0782;0.0009747;0
-9.2379e-05;1;-0.0013788;0.0782;0.0009774;0
-9.2943e-05;1;-0.0013872;0.0782;0.0009801;0
-9.3508e-05;1;-0.0013957;0.0782;0.0009828;0
-9.4073e-05;1;-0.0014041;0.0782;0.0009855;0
-9.4637e-05;1;-0.0014125;0.0782;0.0009882;0
-9.5202e-05;1;-0.0014209;0.0782;0.0009909;0
-9.5766e-05;1;-0.0014294;0.0782;0.0009936;0
-9.6331e-05;1;-0.0014378;0.0782;0.0009963;0
-9.6896e-05;1;-0.0014462;0.0782;0.000999;0
-9.746e-05;1;-0.0014546;0.0782;0.0010017;0
-9.8025e-05;1;-0.0014631;0.0782;0.0010044;0
-9.8589e-05;1;-0.0014715;0.0782;0.0010071;0
-9.9154e-05;1;-0.0014799;0.0782;0.0010098;0
-9.9719e-05;1;-0.0014884;0.0782;0.0010125;0
-0.00010028;1;-0.0014968;0.0782;0.0010152;0
-0.00010085;1;-0.0015052;0.0782;0.0010179;0
-0.00010141;1;-0.0015136;0.0782;0.0010206;0
-0.00010198;1;-0.0015221;0.0782;0.0010233;0
-0.00010254;1;-0.0015305;0.0782;0.001026;0
-0.00010311;1;-0.0015389;0.0782;0.0010287;0
-0.00010367;1;-0.0015473;0.0782;0.0010314;0
-0.00010424;1;-0.0015558;0.0782;0.0010341;0
-0.0001048;1;-0.0015642;0.0782;0.0010368;0
-0.00010536;1;-0.0015726;0.0782;0.0010395;0
-0.00010593;1;-0.0015811;0.0782;0.0010422;0
-0.00010649;1;-0.0015895;0.0782;0.0010449;0
-0.00010706;1;-0.0015979;0.0782;0.0010476;0
-0.00010762;1;-0.0016063;0.0782;0.0010503;0
-0.00010819;1;-0.0016148;0.0782;0.001053;0
-0.00010875;1;-0.0016232;0.0782;0.0010557;0
-0.00010932;1;-0.0016316;0.0782;0.0010584;0
-0.00010988;1;-0.00164;0.0782;0.0010611;0
-0.00011045;1;-0.0016485;0.0782;0.0010638;0
-0.00011101;1;-0.0016569;0.0782;0.0010665;0
-0.00011165;1;-0.0016664;0.0782;0.0010692;0
-0.00011229;1;-0.001676;0.0782;0.0010719;0
-0.00011294;1;-0.0016856;0.0782;0.0010746;0
-0.00011358;1;-0.0016953;0.0782;0.0010773;0
-0.00011422;1;-0.0017049;0.0782;0.00108;0
-0.00011487;1;-0.0017145;0.0782;0.0010827;0
-0.00011551;1;-0.0017241;0.0782;0.0010854;0
-0.00011616;1;-0.0017337;0.0782;0.0010881;0
-0.0001168;1;-0.0017433;0.0782;0.0010908;0
