UGY;VOF;u/u_av_line;Points:0;Points:1;Points:2
1.0965e-05;1;0.00018679;0.0782;0.00069255;3.4749e-05
1.098e-05;1;0.00018705;0.0782;0.0006954;3.4892e-05
1.0995e-05;1;0.00018731;0.0782;0.00069825;3.5035e-05
1.1011e-05;1;0.00018758;0.0782;0.0007011;3.5178e-05
1.1026e-05;1;0.00018784;0.0782;0.00070395;3.5321e-05
1.1041e-05;1;0.0001881;0.0782;0.0007068;3.5464e-05
1.1057e-05;1;0.00018836;0.0782;0.00070965;3.5607e-05
1.1072e-05;1;0.00018862;0.0782;0.0007125;3.575e-05
1.1087e-05;1;0.00018888;0.0782;0.00071535;3.5893e-05
1.1103e-05;1;0.00018914;0.0782;0.0007182;3.6036e-05
1.1118e-05;1;0.00018941;0.0782;0.00072105;3.6179e-05
1.1133e-05;1;0.00018967;0.0782;0.0007239;3.6322e-05
1.1149e-05;1;0.00018993;0.0782;0.00072675;3.6465e-05
1.1164e-05;1;0.00019019;0.0782;0.0007296;3.6608e-05
1.118e-05;1;0.00019045;0.0782;0.00073245;3.6751e-05
1.1195e-05;1;0.00019071;0.0782;0.0007353;3.6894e-05
1.121e-05;1;0.00019097;0.0782;0.00073815;3.7037e-05
1.1226e-05;1;0.00019124;0.0782;0.000741;3.718e-05
1.1241e-05;1;0.0001915;0.0782;0.00074385;3.7323e-05
1.1256e-05;1;0.00019176;0.0782;0.0007467;3.7466e-05
1.1272e-05;1;0.00019202;0.0782;0.00074955;3.7609e-05
1.1287e-05;1;0.00019228;0.0782;0.0007524;3.7752e-05
1.1302e-05;1;0.00019254;0.0782;0.00075525;3.7895e-05
1.1318e-05;1;0.00019281;0.0782;0.0007581;3.8038e-05
1.1333e-05;1;0.00019307;0.0782;0.00076095;3.8181e-05
1.1348e-05;1;0.00019333;0.0782;0.0007638;3.8324e-05
1.1364e-05;1;0.00019359;0.0782;0.00076665;3.8467e-05
1.1379e-05;1;0.00019385;0.0782;0.0007695;3.861e-05
1.1394e-05;1;0.00019411;0.0782;0.00077235;3.8753e-05
1.141e-05;1;0.00019437;0.0782;0.0007752;3.8896e-05
1.1425e-05;1;0.00019464;0.0782;0.00077805;3.9039e-05
1.144e-05;1;0.0001949;0.0782;0.0007809;3.9182e-05
1.1456e-05;1;0.00019516;0.0782;0.00078375;3.9325e-05
1.1471e-05;1;0.00019542;0.0782;0.0007866;3.9468e-05
1.1487e-05;1;0.00019568;0.0782;0.00078945;3.9611e-05
1.1502e-05;1;0.00019594;0.0782;0.0007923;3.9754e-05
1.1517e-05;1;0.0001962;0.0782;0.00079515;3.9897e-05
1.1533e-05;1;0.00019647;0.0782;0.000798;4.004e-05
1.1536e-05;1;0.00019653;0.0782;0.00080085;4.0183e-05
1.1509e-05;1;0.00019606;0.0782;0.0008037;4.0326e-05
1.1481e-05;1;0.00019559;0.0782;0.00080655;4.0469e-05
1.1454e-05;1;0.00019513;0.0782;0.0008094;4.0612e-05
1.1426e-05;1;0.00019466;0.0782;0.00081225;4.0755e-05
1.1399e-05;1;0.00019419;0.0782;0.0008151;4.0898e-05
1.1371e-05;1;0.00019372;0.0782;0.00081795;4.1041e-05
1.1344e-05;1;0.00019325;0.0782;0.0008208;4.1184e-05
1.1316e-05;1;0.00019278;0.0782;0.00082365;4.1327e-05
1.1289e-05;1;0.00019231;0.0782;0.0008265;4.147e-05
1.1261e-05;1;0.00019184;0.0782;0.00082935;4.1613e-05
1.1234e-05;1;0.00019138;0.0782;0.0008322;4.1756e-05
1.1206e-05;1;0.00019091;0.0782;0.00083505;4.1899e-05
1.1179e-05;1;0.00019044;0.0782;0.0008379;4.2042e-05
1.1151e-05;1;0.00018997;0.0782;0.00084075;4.2185e-05
1.1124e-05;1;0.0001895;0.0782;0.0008436;4.2328e-05
